"Particulars","FG/RM/PM","Group","Sub-Group","UOM","Customer","Sale Group","GST","HSN/SAC"
"0M24-Carnival Chana Pouch 250 gm Sample Digital","PM","Packaging","Pouch Roll","0.000","HOH/Common","PM","18%","39232990"
"4 PET WOODEN BOX WITH LID HAMPER","FG","FESTIVE HAMPERS","Gifting","0.400","0","VA","18%","(42022910)"
"Airconditioning Unit, Accessories, Fans Etc 8415","0","Others","Others","0.000","0","0","18%",""
"Banana flavour (241114) NATURAL","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"Barbeque Flavour","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33019029"
"BLACKPEPPER SEASONING BLEND","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021090"
"BLACK PEPPER TOPNOTE LIQUID","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021090"
"Brahmi Extract","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","13021919"
"CALIBRATION CHARGES_x000D_
","0","Service","Charges","0.000","0","0","18%","(998346)"
"Capital Item 18%","0","Others","Others","0.000","0","0","18%","90318000"
"Caramel Sweet Popcorn Flavour","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","21069060"
"Carpentry Furniture Work","0","Others","Others","0.000","0","0","18%","99547"
"CCTV Camera & Accessories","0","Others","Others","0.000","0","0","18%",""
"CELEBRATION SLEEK BOX 300gm","FG","FESTIVE HAMPERS","Gifting","0.300","0","VA","18%","(42022910)"
"Chilli Garlic Flavour","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33019029"
"Chocolate Flavour","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021090"
"Chocolate Flavour 170522","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"Cinnamon Flavour","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","33021010"
"Citric Acid","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","29181400"
"CLASSIC WOODEN BOX 480gm","FG","FESTIVE HAMPERS","Gifting","0.480","0","VA","18%","(42022910)"
"CLEANING AGENT OFFICE USE","0","Others","Others","0.000","0","0","18%",""
"Cleaning Machinery, Packing Machinery Etc 8422","0","Others","Others","0.000","0","0","18%","84229090"
"Coating Mix","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","35051010"
"Cocoa Butter","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","18040000"
"Cocoa Powder","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","18050000"
"COFFEE EXT AQU ALC - 4010000239","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","33019029"
"Coffee Flavour","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021090"
"Compound [Strawberry Flvours]","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","17049090"
"Construction - Structural Work","0","Others","Others","0.000","0","0","18%","995419"
"Cranberry Flavour 280619","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33021010"
"Design Art Plates and Cylinders","0","Others","Others","0.000","0","0","18%","84425090"
"Disposable Nitrile Gloves 18 %","0","Others","Others","0.000","0","0","18%","(10159030)"
"DIS SHOE COVER","0","Others","Others","0.000","0","0","18%","(39249090)"
"Electrical Apparatus for Switching, Fuses, Etc 8536","0","Others","Others","0.000","0","0","18%","8536"
"Extra Cheese Label - TPL","PM","Packaging","Label","0.000","TAJIR","PM","18%","(48211020)"
"Extreme Cheese Label - TPL","PM","Packaging","Label","0.000","TAJIR","PM","18%","(48211020)"
"Fire Extinguishers 3813","0","Others","Others","0.000","0","0","18%","38130000"
"FUMIGATION","0","Others","Others","0.000","0","0","18%","(998531)"
"Furniture Wooden Counter","0","Others","Others","0.000","0","0","18%","94033090"
"GARLIC LIQUID - 4010003414","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","33019029"
"Glues / Gum","PM","Packaging","PM","0.000","GENERAL","PM","18%","35069999"
"Glycerin","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","15200000"
"Glycerol Monostearate (GMS) Powder","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","29157030"
"Google Workspace","0","Others","Others","0.000","0","0","18%","998315"
"GOUR GUM","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","13023230"
"Green Chilli ( 4010000169 )","RM","SEASONING","Seasoning","1.000","0","Bulk","18%","33019022"
"Green Tea Extract","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","13021919"
"Grey Carry All Basket Hamper","FG","FESTIVE HAMPERS","Gifting","0.555","0","VA","18%","(42022910)"
"Hemp Seed Oil","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","33019049"
"HPT CONSUMABLES","0","Consumables","Consumables","0.000","0","0","18%","84312090"
"HVAC,AC Installation & Commissioning in All","0","Others","Others","0.000","0","0","18%","995463"
"INK_printing, Writing, Drawing & Others 3215","0","Others","Others","0.000","0","0","18%","32151190"
"Installation of Modular Panelling Work","0","Service","Charges","0.000","0","0","18%","7308"
"Instant Coffee Powder","RM","MISCELLANEOUS - RM","Other Misc","1.000","0","Bulk","18%","21011120"
"Integrated Facility Management Services","0","Service","Charges","0.000","0","0","18%","999799"
"IP Lease Lines and Others-18%","0","Others","Others","0.000","0","0","18%","998422"
"Jute Floppy Bag Hamper","FG","FESTIVE HAMPERS","Gifting","0.960","0","VA","18%","(42022910)"
